[10:32:27] [INFO] received Windows console close event; shutting log-core down
[10:34:55] [INFO] received Windows console close event; shutting log-core down
[10:38:11] [INFO] received Windows console close event; shutting log-core down
[14:40:42] [INFO] received Windows console close event; shutting log-core down
[14:41:53] [INFO] received Windows console close event; shutting log-core down
[14:47:16] [INFO] received Windows console close event; shutting log-core down
[14:56:00] [INFO] received Windows console close event; shutting log-core down
[15:34:17] [INFO] received Windows console close event; shutting log-core down
[20:34:05] [INFO] received Windows console close event; shutting log-core down
[21:53:10] [INFO] received Windows console close event; shutting log-core down
[21:56:29] [INFO] received Windows console close event; shutting log-core down
[18:46:13] [INFO] received Windows console close event; shutting log-core down
[20:02:30] [INFO] received Windows console close event; shutting log-core down
[20:10:40] [INFO] received Windows console close event; shutting log-core down
[11:16:15] [INFO] received Windows console close event; shutting log-core down
[08:52:14] [INFO] received Windows console close event; shutting log-core down
[06:10:04] [INFO] received Windows console close event; shutting log-core down
[08:05:42] [INFO] received Windows console close event; shutting log-core down
[14:26:31] [INFO] received Windows console close event; shutting log-core down
[14:28:46] [INFO] received Windows console close event; shutting log-core down
[14:54:57] [INFO] received Windows console close event; shutting log-core down
[17:58:22] [INFO] received Windows console close event; shutting log-core down
[18:06:55] [INFO] received Windows console close event; shutting log-core down
[19:12:14] [INFO] received Windows console close event; shutting log-core down
